IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,29222,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,graph.facebook.com,64,104,1,1,2026-09-15T17:55:48.479-06:00,2026-09-15T17:55:48.502-06:00
6,10.215.173.1,47096,57.144.250.141,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,graph.facebook.com,2886,11466,18,16,2026-09-15T17:55:48.555-06:00,2026-09-15T17:55:51.445-06:00
6,10.215.173.1,47098,57.144.250.141,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,graph.facebook.com,2818,9051,18,17,2026-09-15T17:55:48.571-06:00,2026-09-15T17:55:49.916-06:00
6,10.215.173.1,47108,57.144.250.141,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,graph.facebook.com,4593,17501,22,22,2026-09-15T17:55:48.590-06:00,2026-09-15T17:55:50.009-06:00
17,10.215.173.1,34956,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,surfclick.vd7au6.com,66,172,1,1,2026-09-15T17:55:48.794-06:00,2026-09-15T17:55:48.945-06:00
6,10.215.173.1,40086,3.161.4.110,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,surfclick.vd7au6.com,1223,5435,12,11,2026-09-15T17:55:48.956-06:00,2026-09-15T17:55:49.331-06:00
6,10.215.173.1,40098,3.161.4.110,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,surfclick.vd7au6.com,12984,212674,149,159,2026-09-15T17:55:48.961-06:00,2026-09-15T17:56:12.535-06:00
6,10.215.173.1,40102,3.161.4.110,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,surfclick.vd7au6.com,1103,5096,9,7,2026-09-15T17:55:48.989-06:00,2026-09-15T17:55:49.301-06:00
6,10.215.173.1,40116,3.161.4.110,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,surfclick.vd7au6.com,1063,5056,8,6,2026-09-15T17:55:49.006-06:00,2026-09-15T17:55:49.259-06:00
17,10.215.173.1,10630,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,sdkapi-ga.biggogo.com,67,83,1,1,2026-09-15T17:55:49.202-06:00,2026-09-15T17:55:49.259-06:00
17,10.215.173.1,1687,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,yandex.com,56,104,1,1,2026-09-15T17:55:49.215-06:00,2026-09-15T17:55:49.301-06:00
6,10.215.173.1,47586,128.14.133.169,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,sdkapi-ga.biggogo.com,2423,8683,13,12,2026-09-15T17:55:49.275-06:00,2026-09-15T17:55:49.992-06:00
1,10.215.173.1,3124,77.88.55.88,0,-1,Desconocido,unknown,ICMP,Cerrado,yandex.com,28,28,1,1,2026-09-15T17:55:49.319-06:00,2026-09-15T17:55:49.575-06:00
17,10.215.173.1,15428,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,sts.applovin.com,62,78,1,1,2026-09-15T17:55:49.389-06:00,2026-09-15T17:55:49.473-06:00
17,10.215.173.1,33397,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,ms.applovin.com,61,77,1,1,2026-09-15T17:55:49.431-06:00,2026-09-15T17:55:49.501-06:00
6,10.215.173.1,45822,34.111.80.193,443,10265,Movie,com.movievn.cinevi,HTTPS,Cerrado,sts.applovin.com,3922,5908,13,13,2026-09-15T17:55:49.498-06:00,2026-09-15T17:55:51.740-06:00
6,10.215.173.1,49728,34.102.162.219,443,10265,Movie,com.movievn.cinevi,HTTPS,Error,ms.applovin.com,6324,26720,22,25,2026-09-15T17:55:49.507-06:00,2026-09-15T17:55:50.691-06:00
17,10.215.173.1,14993,10.215.173.2,53,10265,Movie,com.movievn.cinevi,DNS,Cerrado,api16-access-wf-sg.pangle.io,74,350,1,1,2026-09-15T17:55:49.521-06:00,2026-09-15T17:55:49.550-06:00
